color_strat_all,color_strat_green,color_strat_blue,color_strat_red,color_strat_yellow,color_strat_orange,color_strat_purple,color_strat_black,value_strat_pair,value_strat_single,value_strat_disparity,ruby_strat_save,ruby_strat_droplet,ruby_strat_flask,ruby_strat_balanced,flask_strat_three,flask_strat_risk,flask_strat_ruby,flask_strat_seventy,flask_strat_fifty,ex_prob_strat_high,ex_prob_strat_medium,ex_prob_strat_low,ex_prob_strat_very_low,ex_prob_strat_never,ex_round_strat_always,ex_round_strat_early,ex_round_strat_early_mid,ex_round_strat_mid,ex_round_strat_mid_late,ex_round_strat_late,exploded_strat_points,exploded_strat_money,exploded_strat_early,exploded_strat_mid,green-1,green-2,green-4,blue-1,blue-2,blue-4,red-1,red-2,red-4,yellow-1,yellow-2,yellow-4,orange-1,purple-1,black-1,green_count,blue_count,red_count,yellow_count,orange_count,purple_count,black_count,one_count,two_count,four_count,final_droplet_position,farthest_space_reached,explosion_count,player_a_vp,player_b_vp,margin,percent_dif,tie,player_a_won,run_id
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,3,4,1,4,0,0,4,3,4,15,1,0,11,30,0,45,18,27,2.42,0,1,71
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,5,4,4,1,5,0,0,5,4,4,19,0,0,11,26,1,45,43,2,1.05,0,1,72
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,2,3,1,4,0,0,5,2,3,14,1,0,9,26,3,31,22,9,1.39,0,1,73
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,6,3,3,1,3,0,0,6,3,3,15,1,0,8,25,0,36,22,14,1.61,0,1,74
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,3,3,3,1,3,0,0,3,3,3,12,1,0,10,27,3,31,38,-7,0.82,0,0,75
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,4,4,1,4,0,0,5,4,4,17,1,0,13,32,1,45,33,12,1.35,0,1,76
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,4,4,4,1,4,0,0,4,4,4,15,2,0,11,31,2,43,34,9,1.26,0,1,77
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,7,3,3,1,5,0,0,7,3,3,18,1,0,8,23,2,34,29,5,1.17,0,1,78
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,7,3,3,1,4,0,0,7,3,3,16,2,0,9,25,0,37,29,8,1.27,0,1,79
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,13,1,0,12,28,2,40,23,17,1.71,0,1,80
